"Age, ybp",Age (calender),BSi MAR (mgSiO2/cm2y),,,"Age, cal ybp",Age (calender),BSi MAR (mgSiO2/cm2y)
(Years before 2002),,,,,(Years before 2002),,
3563,-1561,6.26,,,5347,-3345,5.05
3579,-1577,10.04,,,5368,-3366,6.52
3595,-1593,9.58,,,5389,-3387,4.64
3611,-1609,10.74,,,5410,-3408,4.70
3627,-1625,8.42,,,5431,-3429,4.67
3643,-1641,10.58,,,5452,-3450,3.79
3659,-1657,9.90,,,5473,-3471,3.53
3675,-1673,7.41,,,5494,-3492,4.25
3691,-1689,6.59,,,5515,-3513,5.29
3707,-1705,8.96,,,5537,-3535,6.30
3723,-1721,9.00,,,5558,-3556,6.27
3739,-1737,6.70,,,5579,-3577,5.66
3755,-1753,6.45,,,5600,-3598,4.40
3771,-1769,6.72,,,5622,-3620,5.36
3787,-1785,6.67,,,5643,-3641,4.27
3803,-1801,10.68,,,5664,-3662,4.70
3819,-1817,9.42,,,5685,-3683,4.85
3835,-1833,12.01,,,5707,-3705,5.64
3851,-1849,8.85,,,5728,-3726,7.49
3867,-1865,6.52,,,5749,-3747,7.36
3888,-1886,6.48,,,5770,-3768,6.62
3910,-1908,5.68,,,5792,-3790,5.50
3931,-1929,9.22,,,5813,-3811,5.88
3952,-1950,9.29,,,5834,-3832,6.00
3974,-1972,10.42,,,5855,-3853,5.96
3995,-1993,9.11,,,5877,-3875,6.41
4016,-2014,7.13,,,5898,-3896,5.54
4038,-2036,7.97,,,5919,-3917,5.69
4059,-2057,8.03,,,5940,-3938,5.10
4080,-2078,10.48,,,5962,-3960,6.03
4102,-2100,8.84,,,5983,-3981,5.83
4123,-2121,7.54,,,6004,-4002,5.34
4144,-2142,9.16,,,6025,-4023,6.09
4165,-2163,8.61,,,6047,-4045,5.39
4187,-2185,9.47,,,6068,-4066,4.76
4208,-2206,7.16,,,6089,-4087,6.27
4229,-2227,7.80,,,6110,-4108,5.95
4251,-2249,11.62,,,6131,-4129,4.55
4272,-2270,11.18,,,6153,-4151,5.27
4293,-2291,9.95,,,6174,-4172,5.71
4315,-2313,14.70,,,6195,-4193,6.00
4336,-2334,13.60,,,6216,-4214,3.43
4357,-2355,14.93,,,6238,-4236,5.49
4379,-2377,7.82,,,6259,-4257,4.09
